
language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=212.74 s (90.1 files/s, 27775.8 lines/s)"
C++,./third_party/cld/encodings/compact_lang_det/generated/compact_lang_det_generated_quads_34rr.cc,108,1902,72848
C++,./third_party/cld/encodings/compact_lang_det/generated/compact_lang_det_generated_quads_256.cc,104,1631,71743
HTML,./chrome/browser/resources/about_os_credits.html,15198,0,71507
C,./third_party/libxml/src/testapi.c,7963,196,43532
C++,./third_party/cld/encodings/compact_lang_det/generated/compact_lang_det_generated_quads_128.cc,59,777,35618
Assembly,./third_party/mesa/MesaLib/src/mapi/glapi/glapi_x86-64.S,846,28,30774
Javascript,./chrome/browser/resources/keyboard_overlay_data.js,0,0,22941
Bourne Shell,./third_party/libevent/configure,2822,3228,20097
Bourne Shell,./third_party/talloc/configure,2482,1387,19723
C++,./third_party/mesa/MesaLib/src/glsl/builtin_function.cpp,31,28,19144
C,./third_party/libxml/src/xmlschemas.c,1574,8105,19087
Bourne Shell,./third_party/tcmalloc/vendor/configure,2566,3351,17170
C/C++ Header,./third_party/libxml/src/elfgcchack.h,1556,11,16043
C++,./net/base/effective_tld_names.cc,15,51,15496
Bourne Shell,./third_party/libxml/src/configure,2484,1736,12607
Bourne Shell,./third_party/sqlite/src/configure,2171,1520,12005
XML,./third_party/mesa/MesaLib/src/mapi/glapi/gen/gl_API.xml,1394,155,10965
C,./third_party/libxml/src/xpath.c,1049,3947,10158
C,./third_party/libxml/src/parser.c,1045,3749,10065
C,./third_party/mesa/MesaLib/src/glx/indirect.c,619,28,10021
C/C++ Header,./third_party/mesa/MesaLib/include/GL/glext.h,824,527,9677
Bourne Shell,./third_party/hyphen/configure,1843,1490,9300
Bourne Shell,./third_party/mesa/MesaLib/configure,1149,827,8565
C,./third_party/libxml/src/relaxng.c,632,1906,8465
C,./third_party/mesa/MesaLib/src/mesa/main/dlist.c,1072,483,8454
C/C++ Header,./third_party/wtl/include/atlctrls.h,1548,317,8171
m4,./third_party/hyphen/aclocal.m4,921,94,7973
m4,./third_party/libxml/src/aclocal.m4,929,99,7928
C,./third_party/mesa/MesaLib/src/glu/sgi/libutil/mipmap.c,748,574,7618
C/C++ Header,./gpu/command_buffer/common/gles2_cmd_format_autogen.h,1384,7,7515
C,./net/third_party/nss/ssl/ssl3con.c,1128,1363,7405
m4,./third_party/sqlite/src/aclocal.m4,831,79,7062
m4,./third_party/tcmalloc/vendor/aclocal.m4,760,21,6770
m4,./third_party/libevent/aclocal.m4,759,31,6708
C,./third_party/mesa/MesaLib/src/mesa/drivers/dri/r600/r700_assembler.c,1157,236,6653
Bourne Shell,./third_party/hyphen/ltmain.sh,872,1278,6595
HTML,./chrome/browser/resources/about_credits.html,1444,1,6592
C,./third_party/libxml/src/tree.c,643,2708,6552
Bourne Shell,./third_party/sqlite/src/ltmain.sh,871,1216,6374
Bourne Shell,./third_party/libxml/src/ltmain.sh,871,1206,6329
HTML,./chrome/common/extensions/docs/tabs.html,695,437,6271
C++,./net/http/http_network_transaction_unittest.cc,1543,760,6207
C/C++ Header,./third_party/activscp/activdbg.h,3441,357,6120
C,./third_party/libxml/src/xmlregexp.c,477,1589,6087
C++,./third_party/protobuf/src/google/protobuf/descriptor.pb.cc,811,309,5933
C/C++ Header,./third_party/mesa/MesaLib/src/mapi/glapi/glapitemp.h,1236,62,5906
HTML,./chrome/test/data/find_in_page/largepage.html,28,59,5784
C,./third_party/expat/files/lib/xmlparse.c,343,310,5634
C,./third_party/mesa/MesaLib/src/mesa/main/enums.c,22,49,5623
Bourne Shell,./third_party/tcmalloc/vendor/ltmain.sh,679,872,5413
Bourne Shell,./third_party/libevent/ltmain.sh,679,872,5405
C,./third_party/libxml/src/trio.c,630,1066,5173
C,./third_party/mesa/MesaLib/src/mesa/main/image.c,360,591,5125
C++,./gpu/command_buffer/service/gles2_cmd_decoder.cc,607,464,5037
C,./third_party/jemalloc/chromium/jemalloc.c,898,1350,5028
C,./third_party/jemalloc/vendor/jemalloc.c,896,1337,5026
C,./third_party/sqlite/src/src/btree.c,568,2449,4865
C,./third_party/libxml/src/valid.c,542,1638,4861
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/main/remap_helper.h,135,1148,4853
C,./third_party/libxml/src/HTMLparser.c,575,1553,4811
C,./third_party/sqlite/src/ext/fts3/fts3.c,770,1858,4787
C++,./third_party/cld/encodings/compact_lang_det/generated/compact_lang_det_generated_ctjkvz.cc,1184,1190,4745
C,./third_party/sqlite/src/ext/fts2/fts2.c,773,1823,4693
C/C++ Header,./third_party/wtl/include/atldlgs.h,973,576,4660
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/drivers/dri/nouveau/nouveau_class.h,257,42,4654
C,./third_party/libxslt/libxslt/xslt.c,514,1934,4549
HTML,./chrome/common/extensions/docs/bookmarks.html,504,317,4532
C/C++ Header,./testing/gmock_mutant.h,319,212,4464
C,./third_party/libxml/src/xmlschemastypes.c,410,1258,4459
HTML,./chrome/test/data/dromaeo/tests/v8-earley-boyer.html,378,0,4315
C++,./net/spdy/spdy_network_transaction_unittest.cc,658,454,4302
C,./third_party/libxslt/libxslt/transform.c,484,1702,4289
C++,./chrome/browser/sync/engine/syncer_unittest.cc,532,370,4282
IDL,./third_party/iaccessible2/ia2_api_all.idl,557,0,4245
C++,./chrome/renderer/render_view.cc,764,788,4223
C/C++ Header,./third_party/mesa/MesaLib/src/mapi/glapi/glapidispatch.h,15,36,4180
C,./third_party/mesa/MesaLib/src/mesa/program/program_parse.tab.c,946,650,4134
C,./third_party/harfbuzz/src/harfbuzz-gpos.c,1694,285,4076
C/C++ Header,./base/third_party/valgrind/valgrind.h,361,440,3991
C++,./third_party/mesa/MesaLib/src/glsl/glsl_parser.cpp,716,539,3978
Javascript,./chrome/test/data/dromaeo/lib/dojo.js,727,3783,3948
C/C++ Header,./third_party/wtl/include/atlctrlx.h,677,202,3945
C,./third_party/libxml/src/xmlreader.c,438,1410,3914
C,./third_party/mesa/MesaLib/src/mesa/drivers/x11/xm_span.c,338,576,3905
C,./third_party/sqlite/src/tool/lemon.c,295,703,3891
Python,./gpu/command_buffer/build_gles2_cmd_buffer.py,535,1051,3862
C,./third_party/sqlite/src/src/test1.c,378,982,3809
C++,./chrome/browser/automation/testing_automation_provider.cc,392,322,3799
C,./third_party/mesa/MesaLib/src/gallium/drivers/nv50/nv50_program.c,676,296,3725
C,./third_party/libpng/pngrtran.c,398,361,3698
C,./third_party/mesa/MesaLib/src/mesa/main/texstore.c,422,460,3654
XML,./third_party/mesa/MesaLib/src/mesa/main/APIspec.xml,650,42,3640
C++,./base/third_party/dmg_fp/dtoa.cc,174,396,3639
HTML,./third_party/mesa/MesaLib/docs/subset-A.html,0,0,3578
C/C++ Header,./third_party/protobuf/src/google/protobuf/descriptor.pb.h,524,287,3568
C/C++ Header,./third_party/wtl/include/atlctrlw.h,453,204,3501
Javascript,./chrome/test/data/v8_benchmark/earley-boyer.js,377,834,3473
Perl,./third_party/tcmalloc/vendor/src/pprof,530,751,3471
Perl,./third_party/tcmalloc/chromium/src/pprof,524,752,3467
C,./third_party/mongoose/mongoose.c,695,588,3465
C/C++ Header,./third_party/tcmalloc/vendor/src/third_party/valgrind.h,277,303,3344
C,./third_party/sqlite/preprocessed/parse.c,54,394,3344
HTML,./third_party/wtl/readme.htm,9,0,3327
Javascript,./chrome/test/data/dromaeo/lib/prototype.js,662,332,3326
C/C++ Header,./gpu/command_buffer/common/gles2_cmd_format_test_autogen.h,188,44,3278
Javascript,./o3d/samples/o3d-webgl-samples/box2d-3d/third_party/prototype-1.6.0.2.js,647,299,3275
C++,./net/http/http_cache_unittest.cc,1026,554,3269
C++,./third_party/protobuf/src/google/protobuf/descriptor.cc,564,600,3241
Perl,./third_party/lcov/bin/genhtml,729,853,3238
C,./third_party/libxml/src/runtest.c,354,918,3199
C,./third_party/sqlite/src/src/vdbe.c,331,2095,3195
HTML,./chrome/common/extensions/docs/windows.html,352,225,3179
C++,./chrome/browser/ui/browser.cc,592,548,3168
C,./third_party/libxml/src/xmlwriter.c,566,986,3161
C/C++ Header,./third_party/wtl/include/atlmisc.h,601,270,3147
HTML,./chrome/common/extensions/docs/cookies.html,332,215,3094
C,./third_party/sqlite/src/src/os_unix.c,402,1976,3083
C/C++ Header,./third_party/wtl/include/atlgdi.h,576,196,3075
