
language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=1130.76 s (39.5 files/s, 8599.8 lines/s)"
Javascript,./tools/win/split_link/viz.js/viz.js,0,303,201285
C,./third_party/sqlite/amalgamation/sqlite3.c,8722,43512,76022
C++,./third_party/cld/encodings/compact_lang_det/generated/compact_lang_det_generated_quadschrome.cc,93,1139,69703
Javascript,./chrome/test/data/third_party/kraken/hosted/explanations/astar.js,31,24,50373
Javascript,./chrome/test/data/third_party/kraken/tests/kraken-1.1/ai-astar-data.js,9,0,50247
XML,./tools/metrics/histograms/histograms.xml,4795,70,43608
C,./third_party/libxml/src/testapi.c,7963,196,43532
HTML,./chrome/browser/resources/chromeos/about_os_credits.html,6252,3,25900
Bourne Shell,./third_party/libevent/configure,2822,3228,20097
Bourne Shell,./third_party/talloc/configure,2482,1387,19723
C,./third_party/libxml/src/xmlschemas.c,1574,8105,19087
C/C++ Header,./third_party/libxml/src/elfgcchack.h,1556,11,16043
Javascript,./chrome/browser/resources/chromeos/keyboard_overlay_data.js,2,5,15916
Bourne Shell,./third_party/tcmalloc/vendor/configure,2710,2529,14586
Bourne Shell,./third_party/libxml/src/configure,2484,1736,12607
C/C++ Header,./ppapi/examples/video_decode/testdata.h,4,7,12521
Javascript,./chrome/test/data/sunspider/sunspider-test-contents.js,0,1611,12352
Bourne Shell,./third_party/sqlite/src/configure,2168,1513,11985
C,./third_party/libxml/src/parser.c,1046,3750,10218
C,./third_party/libxml/src/xpath.c,1049,3947,10161
C++,./net/http/http_network_transaction_unittest.cc,2289,1004,9814
Python,./tools/perf/page_sets/alexa1-10000.py,8,9681,9690
C,./net/third_party/nss/ssl/ssl3con.c,1459,1848,9551
Javascript,./third_party/d3/src/d3.js,9,0,9288
C++,./gpu/command_buffer/service/gles2_cmd_decoder.cc,1091,706,9088
XML,./tools/metrics/actions/actions.xml,2025,16,9079
C,./third_party/libxml/src/relaxng.c,632,1906,8465
C/C++ Header,./third_party/wtl/include/atlctrls.h,1548,317,8171
m4,./third_party/libxml/src/aclocal.m4,929,99,7928
